Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-30,870.1659,2
1,0,760.211,0
1,-120,753.5628,0
1,180,666.0261,0
1,120,1023.9999,2
1,-60,544.2295,2
1,-30,696.6177,0
1,0,538.4217,1
1,0,524.0373,1
1,-60,718.2279,2
1,-90,624.3464,1
1,-30,643.8104,0
1,-90,515.9169,2
0,120,570.0421,2
1,30,442.1356,0
1,-60,572.6248,1
1,180,709.3692,0
1,60,694.8131,0
1,60,787.6311,2
1,60,529.8601,1
1,-150,845.9269,2
1,30,664.2865,2
0,0,517.0906,2
1,-30,973.4893,0
1,-150,688.7019,2
1,-150,684.1197,2
1,120,672.3303,1
1,150,434.5952,1
1,60,855.1801,2
1,60,462.4519,0
1,-90,492.1841,1
1,180,803.3871,0
1,30,583.7289,0
1,-120,700.4932,0
1,90,951.2703,1
1,60,579.6023,2
1,120,869.2132,1
1,150,560.6745,0
1,30,554.2407,2
1,-30,800.8698,1
1,150,719.1765,1
1,90,537.4242,1
1,-90,1391.2557,1
1,150,706.2317,0
1,90,659.349,0
1,-90,695.3653,1
0,120,425.0654,0
1,180,730.3659,2
1,30,566.7659,0
1,-150,600.3806,2
1,150,685.7851,0
1,-120,593.2008,0
1,-120,599.8764,1
1,-30,626.3134,2
1,180,1001.4032,1
1,60,829.1132,0
1,120,549.1769,1
1,-120,527.6865,1
1,-30,595.1526,2
1,90,591.6472,0
1,-60,594.8109,0
0,-120,723.0663,1
1,-60,933.0788,1
1,90,604.5571,1
1,0,559.1991,2
1,30,638.1402,2
1,-60,1075.1467,1
1,180,615.1533,1
1,-150,616.3311,2
1,30,536.5556,1
1,60,399.9795,0
1,-150,692.9456,1
1,180,708.0848,0
1,-60,621.0654,2
1,0,525.871,1
1,-90,690.8741,1
0,0,46.25069999,2
1,-60,645.5071,2
1,90,562.9088,2
1,-90,611.2409,0
1,120,586.1088,0
1,-120,622.8254,1
1,180,608.6829,0
1,-150,638.0657,2
1,0,573.2493,1
1,150,659.0437,2
1,-90,626.0051,1
1,-120,547.5351,0
1,150,570.1912,0
1,-150,489.9483,0
1,30,699.2223,2
1,120,595.9267,1
1,90,713.1379,0
0,90,456.362,2
1,150,461.0438,0
1,-30,555.0176,2
0,120,567.4288,0
1,0,555.7,1
1,120,618.8503,0
1,-120,910.7973,2
1,0,478.7646,0
1,90,618.0743,2
1,120,2600.7649,01,-180,666.03,0
1,-180,709.37,0
1,-180,803.39,0
1,-180,730.37,2
1,-180,1001.4,1
1,-180,615.15,1
1,-180,708.08,0
1,-180,608.68,0
