Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0,730.4868,2
1,90,487.0352,1
1,-30,899.9682,2
1,-30,498.6748,0
1,-90,716.7493,0
1,60,653.7944,0
1,-120,513.7502,1
1,150,750.3474,2
1,0,525.3648,1
1,0,524.5453,0
1,-120,758.1961,2
1,30,572.7832,0
1,120,569.2601,0
1,30,589.7648,1
1,90,1023.7584,2
1,0,609.8997,0
1,60,553.3822,1
1,90,800.6208,2
1,-60,613.5811,0
1,180,544.842,1
1,60,720.4652,2
1,-150,692.7143,0
1,180,891.8956,2
1,150,526.5922,0
1,-120,470.4633,1
1,180,612.8268,2
1,90,724.0873,2
1,90,487.3391,1
1,90,566.8967,0
1,150,520.6524,2
1,-150,495.5194,1
1,0,493.3222,2
1,-90,514.6159,0
0,120,629.3401,2
1,30,467.7088,0
1,-90,559.7263,1
1,-150,495.2794,0
0,150,442.8511,1
1,150,769.8896,1
1,120,626.1823,1
1,-90,603.4802,2
1,30,535.6977,0
1,180,521.7905,1
1,120,742.5619,2
1,-150,601.9318,1
1,-150,567.6351,0
1,150,515.1663,2
1,30,606.9431,0
1,30,661.1895,2
1,150,616.6119,2
1,-60,512.3782,1
1,150,542.4273,2
1,-60,472.139,0
1,-120,523.6225,2
0,60,696.2154,1
1,-120,473.0446,0
1,0,527.3869,2
1,120,633.0857,1
1,30,538.5,2
1,-60,647.6214,1
1,-30,539.0618,2
1,60,628.2859,2
1,60,478.9484,1
1,-150,1513.7912,2
1,-120,530.7633,0
1,-60,616.4998,2
1,60,656.4039,1
1,60,508.7818,0
1,-60,517.0265,0
1,-30,506.7962,0
1,-150,677.5844,1
1,90,582.0454,1
1,-120,544.9094,1
1,-30,520.0516,2
1,30,623.3186,2
1,-90,558.4599,0
1,90,674.8239,1
1,120,482.816,1
1,-120,490.9583,0
1,180,568.6221,0
1,-30,497.0312,1
1,-90,594.7949,2
1,-30,513.2888,2
1,120,653.6872,2
1,-60,483.3588,1
1,-150,525.4058,1
1,180,492.1169,1
0,-90,460.6805,2
1,-60,520.6655,0
1,-30,575.9818,2
1,-90,558.3756,2
1,0,508.212,0
1,180,663.4518,2
1,180,621.4316,1
1,120,541.1113,0
1,0,614.8231,0
1,120,610.5593,2
1,150,565.7026,0
1,60,549.1765,0
1,-90,683.1443,21,-180,544.84,1
1,-180,891.9,2
1,-180,612.83,2
1,-180,521.79,1
1,-180,568.62,0
1,-180,492.12,1
1,-180,663.45,2
1,-180,621.43,1
