Correct Response,Rotation (deg),Reaction Time (ms),Target
1,60,420.7303,1
1,120,1556.6624,0
1,120,504.5698,0
1,30,479.419,1
1,-90,729.1292,2
1,-120,585.0509,2
1,0,524.6603,2
1,-60,600.3921,1
1,0,566.9625,0
1,150,495.5746,0
1,-120,647.0812,1
1,-120,631.673,2
0,-150,506.0974,0
1,60,601.3018,1
1,-150,730.7681,0
1,-90,493.0924,0
1,-120,558.2673,1
1,-120,708.593,2
1,120,639.6574,0
1,30,671.5222,2
1,-150,515.4749,1
1,180,567.481,2
1,-90,693.0638,0
1,150,595.7852,1
1,150,647.8259,1
1,-120,602.0141,1
1,150,705.7872,0
1,-150,509.7904,2
1,-150,834.3858,2
1,90,586.7659,0
1,90,705.6004,1
1,150,640.9535,2
1,-90,1301.1323,0
1,120,807.2032,2
1,60,671.6674,0
1,150,569.3096,0
1,-60,583.263,0
1,180,763.7396,0
1,30,679.5135,2
1,-60,667.1179,2
0,-30,419.4645,1
1,30,891.9362,2
1,0,808.4905,1
1,-120,708.3956,0
1,60,1099.6295,1
1,90,830.3662,2
1,-150,536.8098,2
1,180,722.7511,1
1,-30,733.5381,2
1,-150,674.4773,0
1,90,737.6577,1
1,120,864.8964,0
1,-30,915.0031,1
1,30,636.8399,0
0,120,743.161,0
1,150,594.8344,0
1,0,584.9272,2
1,-30,855.8155,1
1,-60,799.9072,0
1,180,702.9013,0
1,90,662.4738,2
0,-30,529.8802,0
1,0,818.1521,1
1,0,556.6694,2
0,90,557.3376,2
1,150,1017.5901,2
1,60,521.0803,2
1,120,630.4317,1
1,-120,665.1493,0
1,-60,531.2348,1
1,-60,963.2735,2
1,30,600.457,1
1,-30,811.1653,2
1,180,597.5893,1
1,-90,541.3871,1
1,-150,625.4087,1
1,60,751.294,0
0,180,551.4031,2
1,-90,746.861,2
1,90,566.0481,1
1,90,454.4441,0
1,0,850.2457,2
1,180,529.4198,1
1,30,416.6202,0
1,0,423.5562,0
1,30,666.1489,2
0,60,516.6851,0
1,-90,654.743,1
1,180,1201.7939,2
1,-60,1166.6622,2
1,-90,628.1569,0
1,120,518.529,1
1,-30,427.1677,1
1,-60,406.5009,1
1,60,896.9778,2
1,-30,661.1436,0
1,-150,1094.0391,2
1,-30,724.9271,0
0,120,632.0488,2
1,-30,744.6368,2
1,90,694.683,0
1,180,611.9724,0
1,60,540.1828,1
1,120,720.3691,21,-180,567.48,2
1,-180,763.74,0
1,-180,722.75,1
1,-180,702.9,0
1,-180,597.59,1
0,-180,551.4,2
1,-180,529.42,1
1,-180,1201.8,2
1,-180,611.97,0
