Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-90,816.2169000101276,0
1,15,456.043400041759,1
1,-60,844.056900005322,0
1,30,483.8971000248566,2
0,30,449.22010000701994,0
1,90,734.1362999835983,1
1,0,526.0642999750562,0
1,-15,526.2787000359967,1
0,-30,610.1817000275478,0
1,15,571.4271000437438,0
1,-90,558.0272999908775,0
1,-45,512.5426999842748,0
1,-45,469.70610000099987,0
1,-90,533.6609000191092,0
1,90,649.6883999756537,2
1,0,494.7559999967925,0
1,30,560.1656999755651,0
1,-75,450.6069000312127,0
1,-30,537.1949000367895,0
1,15,477.46990003762767,2
1,30,539.7434000009671,1
1,-45,411.56330000050366,0
1,30,476.87619999889284,0
1,-75,507.3861000095494,2
1,-75,486.06909997435287,2
1,30,429.9722000109032,2
0,45,493.918500022497,0
1,60,446.7161000324413,2
1,75,521.611400003545,2
1,-30,449.5156000452116,2
1,60,472.10220002708957,0
1,-45,442.6461000079289,1
1,-75,478.5837000203319,2
1,-45,379.42399998102337,0
1,-60,504.7775999959558,2
1,60,641.9359000250697,2
1,-75,592.6104999929667,0
1,-45,455.088300045114,0
0,90,766.9864999447018,0
1,45,493.6251000002958,0
1,90,574.9322000159882,2
1,0,405.52500000596046,0
1,30,455.54840005608276,0
1,-90,666.646099995356,1
1,75,657.1347999819554,1
1,-90,535.7278000414371,2
1,60,587.5359000023454,1
1,-60,464.5992999980226,1
1,75,539.4664999879897,0
1,0,483.32920000795275,1
1,-60,524.5729999700561,2
1,90,553.8216000390239,1
1,-15,485.8945999844,2
1,75,710.8771000024863,1
1,-90,676.1559999980964,2
1,-45,502.7318000178784,2
1,45,476.06969996960834,0
1,15,410.6812000358477,0
1,15,458.56370002403855,1
1,-15,445.1046999860555,1
1,-30,514.3839999767952,2
0,-90,546.2794000017457,0
1,-15,500.7647999995388,2
1,15,422.0922999633476,0
1,-30,402.34769996860996,1
1,-15,513.7241999586113,2
1,-15,421.66080005373806,2
1,15,424.2152000046335,0
1,45,468.08660000935197,0
1,90,490.6303000138141,1
1,0,462.52170001063496,2
1,45,480.6933000185527,2
1,-60,462.3477000244893,0
1,-30,396.8566000079736,1
1,-75,518.1562000038102,2
1,0,404.73409997904673,1
1,45,401.64619998214766,1
1,-75,416.50889999838546,2
1,-30,375.24789996352047,1
1,75,445.4125999440439,2
1,0,396.39030000800267,0
1,-60,413.51899999100715,2
1,75,529.553700002376,1
1,75,433.49660001369193,2
1,60,581.3937999741174,1
1,-15,470.5731999678537,2
0,60,505.12809998728335,2
1,-60,450.39270003000274,2
1,60,414.74809997854754,2
0,90,454.208699983079,2
1,45,504.83659997954965,1
1,30,441.93019997002557,0
1,-30,438.0249999780208,2
1,45,469.85990000795573,0
0,90,479.99830002337694,0
1,-90,590.9931000173092,0
1,60,508.30979999992996,0
1,90,531.8928000018932,1
1,90,479.71280000312254,1
