Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-45,514.3053000178188,2
1,0,590.2109999991953,2
1,0,539.4094999032095,1
1,-45,534.8283000607044,0
1,45,579.1388000911102,1
1,45,500.6202000044286,2
1,15,461.6082999240607,1
1,-90,596.3247999865562,0
1,-90,558.84040001221,0
1,-45,524.1269000656903,1
1,-45,516.0156000023708,0
1,45,595.9121001036838,1
1,60,503.41629999130964,2
0,90,625.1588999843225,1
1,60,532.0827001091093,1
1,75,859.5587000567466,0
1,90,538.9828000301495,1
1,90,491.32359999604523,2
1,-60,496.6451000040397,1
1,15,449.7968999752775,1
1,45,412.38449996709824,1
1,-30,412.27550006844103,1
1,0,464.2842000434175,2
1,-75,702.6877999855205,1
1,0,428.02030004933476,1
1,-60,427.96679999120533,1
1,15,695.7215999104083,0
1,-30,424.9483000570908,1
1,75,557.0183999920264,2
1,-45,567.4380999375135,0
1,60,470.11729998886585,1
1,90,572.4732999773696,2
1,30,563.0259999856353,0
1,-15,537.6671000234783,2
1,60,469.59889999963343,2
1,-75,744.0222999397665,1
1,30,499.94049995113164,2
1,-60,617.203800062649,2
1,15,365.11149996332824,0
0,-75,775.6537000499666,0
1,30,457.3574000354856,0
1,60,391.509399920702,0
1,-15,704.8976000482216,1
1,75,662.1216999450698,2
1,90,808.7105000708252,2
1,-30,697.7835998954251,2
1,15,571.7845999719575,2
1,0,488.2938999766484,2
1,-60,621.5124000413343,2
1,-90,709.1426000082865,1
1,-30,442.6951000317931,1
1,-75,618.6612999849021,0
1,75,739.9468999905512,0
1,-75,619.8528999779373,2
1,0,743.6206999085844,2
1,60,655.6238000597805,1
1,0,603.6254999311641,2
1,-90,588.4343999754637,1
1,-60,485.98950000852346,0
1,45,611.2219000319019,2
1,-90,712.4219000656158,0
1,-15,696.3941000252962,1
1,-45,767.942400005646,1
1,-15,446.30009989161044,0
1,-90,434.6003999784589,2
1,75,690.4830999523401,1
1,15,503.7548998920247,2
1,-30,480.84070003498346,2
1,-75,433.94130008202046,2
1,-60,418.0346000324935,2
1,90,500.625699929893,2
1,90,657.658499953337,0
1,-15,507.58589995931834,2
1,30,480.40870000515133,1
1,45,393.61159997899085,1
1,45,562.813299995847,0
1,-90,646.4385999683291,1
1,60,421.1072000293061,1
1,-15,469.22430005762726,2
1,-15,587.7528000241145,2
1,-60,473.10949995554984,2
1,15,495.66700000688434,2
0,75,580.8943999549374,1
1,30,626.1814000867307,1
1,-30,481.9801999805495,1
1,-45,544.5927000222728,2
1,-30,877.7944000288844,1
1,30,476.10540006682277,1
1,30,428.3041999991983,1
1,75,452.1376999877393,1
1,-75,506.7826000126079,2
1,90,560.0826000412926,1
1,-75,642.7016999190673,1
1,75,399.8329999707639,1
