Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-30,555.7799,1
1,90,727.4837,0
1,-45,596.1666,0
1,75,669.873,2
1,0,816.9337,2
1,90,838.1199,0
1,75,739.3367,1
1,0,1109.956,2
1,45,800.5153,2
1,-75,1468.261,2
1,-60,521.6874,2
0,30,666.4705,1
1,-30,684.8012,2
1,0,574.3383,2
1,-90,659.5005,2
1,-15,703.0918,1
1,0,605.0462,0
1,-60,1009.8158,2
1,75,1198.9301,2
1,15,631.956,1
1,-75,3470.7284,2
1,-15,714.6042,1
1,75,646.1348,1
1,-30,5638.9426,2
1,75,592.3713,0
1,15,588.0764,1
1,90,1094.1919,2
1,30,622.2578,1
1,-45,666.1114,0
1,45,627.5557,1
1,-75,1425.1779,2
1,-90,996.1952,0
1,-90,755.953,1
1,-15,746.2043,0
1,-60,718.8451,2
1,45,694.2504,2
1,-15,851.4507,0
1,0,696.2601,2
1,-75,566.3229,1
1,-90,670.4319,1
1,-90,724.605,2
1,15,765.9388,0
1,15,659.1007,2
1,60,735.454,2
1,-60,1004.7005,0
1,-75,1021.7891,0
1,45,719.5012,0
1,-75,732.4866,0
1,45,497.8472,0
1,90,674.3803,2
1,15,761.5507,1
1,0,603.9972,2
1,-75,618.4424,2
1,90,1036.6346,0
1,30,567.4035,1
1,30,613.0792,2
1,15,579.9026,1
1,75,751.2124,0
1,-45,790.9923,2
1,-30,1385.7335,0
1,60,742.5837,2
1,30,682.2257,2
1,-45,824.2847,0
1,90,627.1707,1
1,-15,583.7302,0
1,45,550.0409,1
0,-90,1865.7565,0
1,-60,628.9024,2
1,60,645.8615,2
1,60,663.9309,1
1,0,705.1048,2
1,-30,772.4095,1
1,-15,552.5599,1
1,-90,762.0291,0
1,60,762.2123,1
1,-30,659.7936,2
1,-60,507.9908,2
1,90,814.5666,1
1,30,616.4592,0
1,15,579.8565,0
1,60,907.0327,1
1,30,691.58,1
1,-15,1293.5934,0
1,60,669.5499,0
1,-45,606.6062,0
1,75,575.434,1
1,45,1809.3843,0
1,-45,724.055,1
1,-30,524.2723,1
1,-60,693.237,1
1,-45,602.0168,2
1,30,590.2942,1
1,-90,587.7644,0
