Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-45,618.9391,2
1,-15,688.9244,0
1,-60,811.8001,0
1,75,1012.4612,2
1,-75,639.6453,0
1,-30,946.1984,1
1,-90,908.7872,2
1,-30,558.7614,0
1,90,720.4955,2
1,-30,1157.4303,1
1,90,1226.7417,0
1,15,571.8345,0
1,0,622.2535,2
1,60,907.8523,0
1,-45,654.6252,1
1,-60,1204.144,2
1,0,609.2984,0
1,0,572.987,0
1,60,1150.6405,2
1,-75,805.8363,1
1,15,691.7749,0
1,-90,710.2946,0
1,-15,559.6899,0
1,60,724.8368,2
1,30,534.6704,1
1,15,562.7876,0
1,45,679.3948,1
1,-45,750.4943,2
1,-15,549.6097,1
1,90,632.5134,0
1,-90,1011.4272,1
0,60,1055.5345,1
1,15,1168.6187,0
1,-15,661.8615,2
1,15,698.583,2
1,-75,1458.5108,2
1,-75,614.4099,0
1,-75,768.4438,2
1,-45,711.2935,0
1,-15,580.2465,0
1,45,796.0091,2
1,90,663.5139,0
1,60,748.8922,2
1,-30,586.7028,1
1,45,769.3221,2
1,-60,1166.6741,1
1,-15,1810.8991,1
1,30,574.3307,0
1,30,1310.4693,1
1,45,635.5321,0
1,75,665.6062,1
1,-60,765.6057,1
1,90,883.2849,1
1,-90,759.5399,0
1,30,693.1902,1
1,-15,663.9215,2
1,75,719.3055,1
1,45,697.2865,2
1,30,1150.3805,1
1,30,645.6287,2
1,60,644.9007,0
1,45,869.2212,0
1,-30,636.8263,0
1,-75,1654.6453,1
1,-45,671.4675,1
1,-60,593.6098,2
1,0,833.8892,2
1,-90,884.4571,0
1,90,1302.8313,1
1,-90,953.5446,1
1,-75,829.3639,0
1,-45,1142.2577,0
1,0,655.0072,2
1,30,703.9065,2
1,-90,743.9947,1
1,75,715.1148,1
1,-30,589.4487,1
1,-30,713.193,2
1,90,944.019,2
1,15,648.7149,0
1,0,1732.5543,0
1,-60,660.598,2
1,75,656.335,1
1,15,617.7904,0
1,45,1563.5087,0
1,60,733.6466,0
1,-45,689.4616,0
1,75,579.7693,1
1,-60,581.7667,1
1,75,843.1056,0
1,0,645.7511,0
1,60,669.4238,2
