Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-45,648.821,0
1,15,563.8891,0
1,7.5,535.2959,1
1,52.5,1787.5467,1
1,-60,1042.1787,2
1,-22.5,623.5242,1
1,30,846.8608,0
1,-22.5,706.7016,2
1,7.5,616.1004,1
1,-30,766.7551,0
1,45,1121.7621,2
1,-15,587.4614,0
1,-60,809.2067,0
1,52.5,2372.4569,1
1,-7.5,607.7936,1
1,15,504.3063,1
1,0,776.9319,2
0,60,1460.9489,0
1,-22.5,558.7394,1
1,22.5,546.1272,2
1,30,652.1557,0
1,-37.5,640.2576,2
1,-7.5,626.0172,0
1,-45,967.9081,1
1,15,825.5846,0
1,30,790.087,0
1,-52.5,1448.0084,1
1,-30,634.8665,0
1,15,762.9761,0
1,0,591.4697,2
1,37.5,921.6924,2
1,-52.5,598.2622,0
1,60,1268.0659,1
0,-22.5,643.6903,2
1,37.5,759.4102,0
1,52.5,1114.162,1
1,-60,962.5032,2
1,0,531.1332,0
1,7.5,650.1192,1
1,0,696.5989,1
1,30,1037.7811,1
1,-52.5,664.2434,0
1,-37.5,776.9231,1
0,37.5,1607.1013,1
1,45,731.0987,0
1,-52.5,1088.9949,2
1,30,1227.5827,1
1,-15,1434.5065,1
1,52.5,1682.6008,2
1,7.5,834.3905,2
1,22.5,754.4213,1
1,0,768.1401,1
1,37.5,637.336,0
1,0,645.2294,2
1,-15,694.7407,1
1,45,1319.7083,0
1,-37.5,618.0794,1
1,45,1139.1439,2
1,-60,589.2205,0
0,-45,734.1396,2
1,0,673.0835,0
0,52.5,1355.8795,0
1,-7.5,808.0301,2
1,-60,1032.3256,2
1,-45,1248.3573,2
1,60,633.222,1
1,-22.5,612.8231,1
1,45,1337.9814,0
1,0,513.0502,1
1,22.5,745.0603,2
1,7.5,534.3932,1
0,60,2604.9587,2
1,15,687.1614,2
1,0,627.3904,2
1,22.5,676.7416,0
1,-15,618.8198,2
1,60,669.1631,1
1,-30,733.9502,0
1,-30,601.8779,1
1,-30,581.9822,2
1,22.5,766.6299,0
1,-37.5,701.0826,2
1,-7.5,658.7344,2
1,-45,842.615,0
1,-37.5,861.0849,0
1,-15,609.3811,1
1,0,620.4148,1
1,37.5,2319.419,2
1,-52.5,851.7761,0
1,-7.5,560.97,2
1,60,615.7916,1
1,-22.5,585.2308,1
1,37.5,507.814,1
1,-45,865.1997,0
1,52.5,855.0121,0
1,60,544.8773,1
