Correct Response,Rotation (deg),Reaction Time (ms),Target
1,7.5,418.5991999951657,0
1,-45,418.59559999685735,0
1,0,390.9021999974502,0
1,-30,396.0957999919774,2
0,37.5,731.3437000088161,0
1,-22.5,411.5402999999933,0
1,-22.5,478.37109998764936,2
1,15.0,449.180000007269,2
1,22.5,588.0168999978341,1
1,-15.0,580.2488000012236,1
1,60.0,697.992400001036,0
1,-45.0,616.848699992639,1
1,52.5,692.9395000010263,0
1,-22.5,498.4687000073027,1
1,-22.5,503.9196999972919,2
1,-37.5,465.49060000362806,1
1,30.0,581.6687000009697,2
1,-45.0,475.153800009517,1
1,15.0,1035.3511999968905,1
1,0.0,443.4823000014294,0
1,0.0,467.81379999849014,1
1,45.0,694.8444999983767,0
1,-7.5,443.91749999742024,1
1,-30.0,461.9036000043852,2
1,-7.5,418.0788000052562,1
1,0.0,458.3506000021007,0
1,7.5,505.1998999955831,2
1,7.5,442.42470001010224,0
1,30.0,497.3904999900842,2
1,22.5,488.6078999956371,1
1,52.5,806.1546999928541,1
1,-60.0,753.4430000054417,1
1,0.0,833.3276000015903,0
1,-7.5,501.7901000068523,2
1,7.5,475.3338999984553,1
1,-30.0,510.12040000606794,2
1,45.0,687.782199991867,1
1,-52.5,441.29800000193063,1
1,30.0,501.4422000062186,0
1,-45.0,521.4238000011537,1
1,37.5,653.9785000026459,2
1,-60.0,720.8586999881081,1
1,-37.5,536.9484999941196,0
1,-52.5,633.2073999914574,1
1,22.5,457.2315000081435,2
1,30.0,508.2979000111809,0
0,-52.5,523.1590000006836,2
1,30.0,543.3490999970818,1
1,45.0,524.9473999978509,2
1,7.5,540.7079999971902,0
1,15.0,469.3517999952892,0
1,15.0,641.5890000029467,1
1,-52.5,557.6445000009844,2
1,0.0,502.9810999953188,0
1,37.5,526.2675000089221,2
1,-7.5,486.447100000456,1
1,60.0,1171.9099000005517,1
1,22.5,518.4367000005441,2
1,-37.5,494.97240000020247,2
1,-7.5,463.0943999913288,0
0,60.0,1656.940600002068,0
1,52.5,503.6927000004798,0
1,-52.5,622.6608999972232,0
1,0.0,569.6420999997063,2
1,-15.0,776.4886000044644,0
1,0.0,386.01060000329744,0
1,52.5,516.0553999998374,1
1,60.0,653.12499999383,0
1,-60.0,944.0166999960784,0
1,0.0,516.1140999956988,1
1,-60.0,736.3944999928353,2
1,45.0,848.3497000092175,1
1,-15.0,455.5098999957554,1
1,-30.0,470.48660000693053,2
1,37.5,613.4207999970531,1
1,-30.0,601.345999992569,0
1,15.0,488.2485999955097,2
1,-45.0,749.8155000034021,1
1,60.0,484.8410999951884,0
1,-22.5,410.06760000565555,2
0,45.0,571.9167000028538,2
1,52.5,962.7536000011023,2
1,-15.0,469.662500003702,1
1,-15.0,481.94209999602754,1
1,37.5,508.6852000062354,0
1,-37.5,468.8841999999713,1
0,-60.0,785.1496000043117,0
1,22.5,454.30270000034943,1
1,-37.5,565.4629000022542,2
1,0.0,384.34519999683835,0
1,37.5,466.0679000047967,0
1,-52.5,1142.205199994729,0
1,60.0,422.41159999358933,0
1,45.0,579.9079999964451,2
1,-60.0,661.4511000047205,0
