Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-7.5,528.6492999988841,1
1,45,1085.4242000026861,0
1,-7.5,506.4779999924358,0
1,-37.5,572.6410000028554,1
1,-22.5,577.4198999974178,0
1,0,540.3704000022262,0
1,7.5,560.4983999914257,0
1,22.5,723.4361999984831,2
1,-15,835.5664999948349,2
1,-30,542.4907000091625,1
1,0,494.58689998975024,1
1,-60,1024.1468999997014,0
1,-30,613.6629999931902,1
1,45,673.953699992504,2
1,-15,504.8487999996869,1
1,7.5,625.6123000024818,0
1,-45,534.5287999920547,1
0,60,1372.111700006295,2
1,60.0,864.5225000040373,1
1,-52.5,860.6926000033272,0
1,52.5,663.558199998457,1
1,-37.5,642.4130999916233,0
1,-37.5,551.9935999877052,0
1,37.5,752.1762000073213,0
1,60.0,735.1644999984419,0
1,0.0,539.3379999990575,0
1,-15.0,539.5413999907905,0
1,-45.0,527.4823000039905,0
1,22.5,539.9341999986209,0
1,60.0,1020.1630000050645,1
1,-22.5,766.2903999993578,2
1,60.0,771.3049000125611,1
1,-7.5,742.3998999987962,2
0,30.0,1200.7325999988243,2
0,-22.5,724.0723000108264,1
1,-37.5,678.6963000016985,0
1,15.0,681.7643000071403,0
0,52.5,2603.81799999997,0
1,-60.0,1550.3340000108583,1
1,37.5,2416.4400999983773,1
0,-30.0,1505.60650000663,1
1,-22.5,575.1461000003619,1
1,22.5,579.3742000063648,0
1,15.0,472.91369999258313,0
1,0.0,535.7522999951616,0
1,7.5,1072.0092000087025,1
1,-7.5,666.9749999968335,2
1,-30.0,791.0462999974843,0
1,-45.0,892.6419000021415,1
1,0.0,750.3129000073532,1
1,30.0,746.5484999960754,2
1,37.5,697.4390000072308,0
1,-15.0,697.1968000110937,2
1,15.0,595.120199996396,0
1,-22.5,652.7354999965755,2
1,-60.0,964.9071000134572,0
1,45.0,711.8985999954166,2
1,-45.0,875.1174000030151,1
1,52.5,622.9265000114683,1
1,-60.0,641.1008999970509,0
1,7.5,802.541399997077,1
1,-45.0,607.4832999987993,1
1,0.0,599.8183999876492,1
1,-52.5,586.6296999996994,0
1,45.0,1709.6035999970045,0
1,0.0,813.1363000106066,2
1,37.5,577.2014000071213,0
1,-52.5,620.383499987307,1
1,0.0,544.2203999959165,1
1,30.0,689.7208000122337,2
1,0.0,494.00949998782016,1
1,-52.5,619.5714000026928,0
1,-52.5,547.7135000077542,1
1,30.0,462.6587999922922,0
1,-37.5,737.4339000056498,0
1,22.5,529.8747000019066,1
1,37.5,613.9727000085404,1
1,52.5,614.0692000011913,0
1,15.0,677.2303000001702,1
1,-60.0,580.003399995272,1
1,-30.0,477.46459999727085,0
1,30.0,496.39570001128595,0
1,-15.0,485.96290000970475,1
1,45.0,477.63600000727456,0
1,15.0,688.9264999885345,2
1,0.0,722.5001000009943,2
1,52.5,550.643999999389,1
1,7.5,505.5403999980772,0
1,22.5,343.02780001272913,0
1,-7.5,519.402799993637,1
1,60.0,923.5888999941526,2
0,30.0,443.97479999717325,2
0,-22.5,458.749099995126,2
1,52.5,541.5423999915365,2
1,-30.0,464.9271999918856,2
1,30.0,486.45629999774974,0
1,-22.5,686.061099997838,2
