Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0,592.3049,2
1,-60,1489.3332,1
1,0,600.9735,0
1,7.5,646.3058,1
1,15,595.6117,1
1,-52.5,766.0607,2
1,15,791.2182,2
1,45,897.7015,1
1,-52.5,737.552,1
1,-37.5,1772.5491,2
1,-22.5,643.3459,0
1,-30,655.0734,1
1,0,709.043,2
1,-15,682.2492,0
1,-7.5,606.8718,1
1,0,845.3286,2
1,15,703.2642,1
1,-30,796.8244,0
1,22.5,706.817,0
1,0,488.2446,0
1,-45,1050.6616,2
1,60,1134.8946,0
1,52.5,766.1414,1
1,-15,572.9286,2
1,30,696.0845,1
1,15,680.257,1
1,37.5,617.1144,0
1,45,1190.6366,2
1,-30,1425.2658,0
1,37.5,930.3895,2
0,-22.5,640.8534,0
1,22.5,1009.0597,0
1,-15,1517.2141,1
1,-60,2081.2937,0
1,52.5,940.0182,0
1,45,968.5367,1
1,0,1197.8101,0
1,-37.5,611.08,2
1,-45,1100.2375,1
1,45,804.346,1
1,22.5,704.9382,2
1,30,690.3825,2
1,0,693.7549,2
1,-15,803.2202,0
1,-52.5,956.5732,1
1,-45,666.5511,2
1,-30,745.8745,2
1,-37.5,921.1654,1
1,-7.5,734.4671,2
1,-45,925.0503,1
0,-60,1490.028,1
1,37.5,673.2325,2
1,-37.5,1594.0011,1
1,-15,631.8232,2
1,37.5,828.0728,0
1,-52.5,673.3992,2
1,7.5,776.761,0
1,-60,643.3199,2
1,30,931.8627,1
1,22.5,758.2459,0
1,22.5,942.9021,1
1,60,1319.4239,2
1,-7.5,766.4825,0
1,52.5,628.8783,1
1,7.5,727.3044,0
1,-22.5,969.3581,2
1,7.5,589.386,0
1,-52.5,1195.1893,0
1,0,551.2877,2
0,52.5,857.0893,2
1,-22.5,794.134,1
1,7.5,827.7151,0
1,-22.5,662.1532,2
1,15,1104.2586,2
1,37.5,2378.2495,0
1,-7.5,709.4704,0
1,30,452.9148,1
1,60,1860.6597,0
1,-37.5,710.1432,2
1,-60,789.3571,1
1,45,599.0772,1
1,-30,666.0025,0
1,-45,647.2086,1
0,60,842.3264,2
1,30,589.0341,1
1,-7.5,826.7305,2
1,52.5,739.1475,1
1,60,773.0244,1
1,0,789.9205,0
1,0,814.6946,2
1,-22.5,2091.8285,0
1,-60,1338.1114,1
1,52.5,1711.7381,0
1,60,1252.1744,0
