Correct Response,Rotation (deg),Reaction Time (ms),Target
1,30,491.94969999045134,1
1,-150,441.8178999880329,2
1,30,661.2519999584183,1
1,90,592.8874000059441,1
1,-120,713.2345999674872,2
1,-30,607.9391999486834,0
1,0,492.9439999945462,0
1,180,670.8870999831706,2
1,150,571.8192000025883,2
1,180,631.0520000373945,0
1,-150,588.1358999144286,2
1,90,580.1402000328526,2
1,150,586.5998999765143,1
1,180,616.3383001079783,1
1,-90,510.07869996502995,1
1,-120,593.297699986957,2
1,0,533.0054999180138,0
1,0,489.7079000333324,0
1,30,459.24240006972104,0
1,-30,463.4249000195414,0
1,-30,502.6547000128776,2
1,150,626.9458000864834,0
1,-60,619.1829999992624,2
1,150,751.3404000168666,0
1,120,748.7495000790805,1
1,180,611.4565000720322,1
1,0,539.3132999856025,2
1,-60,684.7763000372797,2
1,-30,535.77050001733,1
1,-150,581.8978000283241,1
1,120,620.3712000828236,2
1,90,603.539599975571,0
1,-90,592.3190001016483,5
1,-60,701.7911000261083,4
1,90,579.3478000527248,5
1,60,455.4174999324605,3
1,150,493.57770004682243,5
1,-90,558.0237999642268,4
1,-120,538.8401999920607,5
1,150,531.5030000023544,4
1,0,420.2951000155881,3
1,-60,699.789600036107,3
1,150,599.4972999291494,3
1,150,527.0539000015706,5
1,90,699.1959000555798,3
1,-150,577.6541999625042,3
1,30,634.409899994731,5
1,120,619.1980999978259,4
1,180,508.85150005016476,5
1,-150,599.5550000192598,4
1,-150,545.8812000546604,4
1,90,613.5998999783769,5
1,-30,590.0734999999404,4
1,-90,637.1963000241667,3
1,0,536.3633999917656,3
1,-60,709.7348999781534,4
1,90,575.2925000237301,4
1,30,503.86049999762326,4
1,120,460.38900006935,4
1,-30,681.5133999884129,3
1,90,573.0282000117004,5
1,-90,574.5597000317648,5
1,-150,584.7061999924481,3
1,-60,579.2015999872237,3
1,120,444.3774000359699,8
1,30,538.9085999308154,8
1,30,537.2587000569329,8
1,-90,486.6831999355927,7
1,180,620.7008000314236,8
1,60,545.5290999347344,8
1,-30,535.7038999758661,6
1,120,492.05099994689226,7
1,-60,580.1791000962257,6
1,180,509.813700042665,6
1,30,533.3808000981808,7
1,60,575.099700069055,8
1,60,494.0489000258967,8
1,60,518.2598000941798,8
1,-120,621.2134999772534,6
1,-30,557.5437000337988,7
1,180,610.3390999455005,8
1,120,552.6007999982685,6
1,60,537.6076999204233,6
1,-90,463.0191999571398,7
1,120,414.6815999960527,8
1,-120,427.9346000952646,6
1,-120,538.8550999891013,6
1,60,513.4622000008821,8
1,60,583.5036000320688,8
1,-150,550.8691999679431,8
1,-120,596.7002000510693,7
1,-90,549.57720002532,8
1,-120,492.54489998240024,6
1,0,445.16780000086874,7
1,-60,522.6309999674559,7
1,0,511.72090001311153,6
1,-180,670.89,2
1,-180,631.05,0
1,-180,616.34,1
1,-180,611.46,1
1,-180,508.85,5
1,-180,620.7,8
1,-180,509.81,6
1,-180,610.34,8
