Correct Response,Rotation (deg),Reaction Time (ms),Target
0,-60,1158.9978999658488,0
1,-60,787.4639999903738,1
0,120,-109.0,1
1,120,1179.000500004273,1
0,-90,-109.0,1
1,-90,1036.3920000349171,1
1,-150,1058.0054999995045,1
1,60,917.9684999948367,1
1,-30,816.9097999893129,2
1,120,1049.571199979633,0
1,30,580.4729000050575,1
0,0,899.913500001654,0
1,0,883.4905999796465,1
0,-120,-109.0,1
1,-120,702.7910000146367,0
1,180,686.6309000146575,1
1,150,885.333699985873,1
1,-150,899.3728000172414,2
1,120,1088.718299983535,0
1,-150,886.6660000025295,1
1,90,741.7995000109076,2
1,30,640.1903000045568,1
1,-90,866.4734999733046,1
1,30,616.4030000185594,2
1,60,965.2328999913298,2
1,-30,716.3399999812245,1
1,-120,708.6173999672756,2
1,-150,1051.4622000013478,1
1,-60,557.1887000082061,1
1,0,593.9558999929577,1
1,120,941.4947999725118,2
1,-60,687.9710999750532,2
1,-120,974.6020999704488,0
1,-60,539.058199963998,1
1,120,655.5905999816023,2
1,-90,980.5076000015251,0
1,-120,775.685900004115,1
0,-120,-109.0,3
1,-120,642.1942000128329,5
1,150,694.1174000352621,4
0,-150,833.5724999746308,4
1,-150,1006.8333999919705,4
1,150,811.0425000162795,3
1,180,603.2640000307001,5
1,-60,646.4414000478573,5
1,150,711.8520999760367,3
1,90,672.8163000047207,5
1,30,691.278700015042,4
1,-30,876.6328999740072,4
1,-120,678.3586999485269,3
0,-120,-109.0,3
1,-120,826.7576000038534,4
1,30,573.7343000331894,5
1,180,651.0475000217557,5
1,-150,618.4424000061117,4
1,-90,660.503099960275,4
1,150,812.9975000014529,3
1,-30,585.0405999775976,5
1,150,644.6949999630451,5
1,-90,640.8642000136897,5
0,-90,588.4986999994144,5
1,-90,563.0792999840342,5
1,0,483.1319000190124,5
1,60,551.4634000104852,5
1,60,705.9330000160262,3
1,-60,539.9094999851659,3
1,180,724.428600046318,4
1,0,636.4046999919228,4
1,180,520.7430000267923,4
1,120,681.2296000393108,5
1,90,751.4772000107914,3
1,90,775.813699987717,4
1,-30,614.4581999946386,5
1,150,863.9676999850199,7
1,90,588.7980000083335,6
1,90,728.8239999874495,7
1,-60,614.4399000299163,8
1,0,888.7889000438154,6
1,0,488.2083999658935,7
1,-30,669.3792999689467,8
1,60,598.0904000429437,7
1,90,631.700599970296,8
1,-90,517.8801999976858,6
1,-90,590.6310999966227,8
1,0,545.7084999619983,7
1,-60,563.5903000333346,8
1,120,612.1507000029087,6
1,-120,605.5156000042334,6
1,-150,531.7856000005268,6
1,-30,548.7786999987438,6
1,180,476.89290000963956,6
1,150,564.338699969463,8
1,30,457.7636999860406,7
1,-150,668.4182999855839,7
1,30,522.2066999962553,6
1,60,643.4775000056252,6
1,30,519.0297000193968,7
1,120,464.506599990651,6
1,60,785.2089999909513,7
1,0,543.247499965597,6
1,-30,604.3783000172116,7
1,60,656.0959999882616,8
1,180,649.0399999860674,6
1,90,643.0549999899231,7
1,180,539.2933000079356,6
1,-180,686.63,1
1,-180,603.26,5
1,-180,651.05,5
1,-180,724.43,4
1,-180,520.74,4
1,-180,476.89,6
1,-180,649.04,6
1,-180,539.29,6
