Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-7.5,604.5733999311924,2
1,7.5,553.4447000212967,2
1,-45,895.5756999170408,2
1,37.5,880.889100077562,0
1,22.5,808.7452999865636,1
1,-15,1098.201600074768,0
0,-52.5,-109.0,0
1,-52.5,690.15279999841,2
1,0,731.4866999480873,2
1,60,858.2350999899209,0
1,37.5,676.1143999723718,0
1,30,551.0024999352172,0
1,0,734.2356000412256,2
1,22.5,724.0487000057474,2
1,52.5,659.3348000282422,0
1,37.5,795.498300049454,2
0,-30,974.7864000350237,0
1,-30,490.50589993968606,1
1,45,489.9170999964699,0
0,-52.5,749.4556999849156,0
1,-52.5,618.2031999891624,1
1,0,581.9125000238419,1
0,-30,867.3208000222221,0
1,-30,775.4879000680521,2
1,37.5,547.1826999532059,0
1,30,695.1104000294581,2
1,-60,976.945300059393,2
0,60,650.3144999118522,2
1,60,891.1288000494242,1
1,22.5,578.0774000417441,2
0,-7.5,505.13380003068596,0
1,-7.5,600.6672999905422,2
1,-22.5,554.8679000316188,1
1,7.5,570.874699912034,2
1,-22.5,540.6388000668958,0
1,-22.5,557.6620000032708,1
1,-15,579.519100076519,1
1,22.5,828.0377999730408,0
1,-37.5,498.40149999037385,5
1,45,588.1810000250116,5
1,22.5,453.9742000019178,5
1,-60,764.6115999054164,4
1,-37.5,530.9266000371426,4
1,-45,566.6819000001997,5
1,30,737.260399906896,3
1,60,713.9588000103831,5
0,-60,1020.122499958612,3
1,-60,680.9634999921545,3
1,-45,799.2487000850961,4
1,15,864.1432000407949,4
1,22.5,576.2657999843359,5
1,-37.5,552.0942999832332,3
1,-22.5,651.6122000142932,3
1,52.5,587.7048000078648,5
1,-7.5,514.7217000452802,3
1,60,752.118600005284,3
1,15,543.5862000416964,5
1,-15,623.4047000147402,4
1,30,776.6887000147253,4
1,-7.5,607.343899955973,5
1,7.5,579.1581000052392,4
1,-22.5,601.4142000898719,3
1,52.5,576.5176000390202,5
1,7.5,821.2753999363631,4
1,-30,540.5456999400631,3
1,0,548.0848999544978,5
1,-52.5,871.7263999246061,4
1,-30,486.4083000542596,3
1,-37.5,670.4214999303222,4
1,-15,537.2322999723256,3
1,45,760.9153999332339,4
1,37.5,556.3840000508353,6
1,45,403.79810001142323,7
1,-37.5,821.8590000728145,7
1,-45,481.44740011449903,7
1,52.5,502.54979991260916,7
1,15,426.05419997964054,7
1,0,468.5146000087261,7
1,15,558.7203000290319,8
1,-52.5,980.2886000219733,6
1,60,498.1137000108138,7
1,-52.5,575.3610999640077,7
1,7.5,481.05150001030415,7
1,-30,556.3016000054777,7
1,-45,430.0114000765607,7
1,-60,405.21779999509454,7
1,45,922.3214999623597,6
1,-7.5,463.34740001149476,8
1,7.5,374.3403000375256,7
1,0,496.9437000658363,7
1,15,422.2811000039801,6
1,45,467.7928999848664,6
1,-60,802.8963000364602,6
1,-22.5,465.70319990534335,7
1,52.5,597.1348999850452,6
1,37.5,750.2440999345854,8
1,-60,701.2510999888182,8
1,30,430.9652000050992,7
1,-45,709.4427000815049,6
1,60,720.5324000064284,6
1,-15,594.5631000762805,6
1,15,498.70819999743253,6
1,-37.5,471.6985000381246,6
