Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0,712.820699959062,1
0,-60,-109.0,0
1,-60,512.8971000052989,2
1,-7.5,638.2700000507757,1
1,52.5,986.7171999616548,1
0,-52.5,620.6925999689847,2
1,-52.5,735.1804000176489,1
1,0,519.8104000268504,0
1,-60,655.0705000376329,1
1,-52.5,431.31090007629246,1
1,-7.5,581.9084999933839,0
1,-52.5,609.393599963747,2
1,-45,612.3515000184998,1
1,22.5,545.7528000082821,2
1,22.5,760.1009999020025,0
1,-15,546.6912999367341,2
1,-30,393.0187000045553,1
1,30,443.42309998720884,1
1,45,718.8312999755144,2
0,-45,385.7325000539422,2
1,-45,484.4102999744937,2
1,60,1070.9876000732183,0
1,37.5,425.38810002990067,1
1,-22.5,544.963900054805,1
1,-7.5,326.4912999551743,1
1,7.5,579.4686999255791,0
1,30,752.2460000440478,0
1,-37.5,692.9799999892712,0
1,-30,659.0004000430927,2
1,52.5,369.016100008972,1
1,15,382.6634999681264,1
0,-52.5,386.9095000522211,0
1,-52.5,615.3142999941483,2
1,7.5,634.365699891001,2
1,45,754.9475000090897,2
1,-37.5,608.1112999785691,0
1,-22.5,713.4200999829918,4
1,-30,429.2427000440657,4
1,52.5,651.5391999240965,4
1,-15,465.5538000483066,5
0,0,330.40399994608015,5
1,0,362.9960999209434,5
1,-15,423.82650001347065,3
1,-60,620.4472999637946,4
1,7.5,638.6358999265358,4
0,60,755.4690000219271,3
1,60,691.6381000159308,5
1,-45,579.890099991113,3
1,22.5,455.71820001024753,5
1,60,523.2375999297947,5
1,-7.5,526.6313000433147,3
0,45,613.893700003624,3
1,45,709.2329999981448,3
1,45,417.73559996765107,3
1,-22.5,584.1230999762192,4
0,60,695.6425000065938,4
1,60,605.5538000622764,4
1,-7.5,489.9504000172019,5
1,-22.5,513.7363999933004,3
1,0,684.3729999931529,4
1,7.5,483.121799942106,3
0,60,733.5209000706673,4
1,60,551.8477999689057,4
1,30,638.8661000495777,4
1,15,607.2142000161111,5
1,30,552.5692999912426,3
1,-52.5,699.3181999390945,4
1,22.5,499.9620999991894,3
1,15,336.0656999833882,3
1,15,417.3073000824079,4
1,22.5,525.414599975571,3
1,-7.5,429.0443000467494,3
1,-15,789.1288999784738,4
1,45,410.46169999428093,6
1,-37.5,473.40389998536557,7
1,-60,539.141699959524,7
1,37.5,497.5529999323189,7
1,-45,716.8616999955848,8
1,52.5,458.61020002886653,8
1,45,355.63559998665005,8
1,-30,592.7156999791041,6
1,30,634.3642001124099,8
1,22.5,557.947599966079,8
1,37.5,474.21149996481836,7
1,30,332.14830007310957,7
1,52.5,517.3399999588728,8
1,37.5,473.6649999944493,6
1,15,415.07669997774065,6
1,-22.5,526.7023000018671,6
1,0,359.04919990245253,7
1,-30,426.9708999749273,7
0,-15,444.9797000819817,6
1,-15,464.27630009967834,7
1,60,582.2482000188902,8
1,7.5,616.7483000867069,8
1,-30,561.1394999399781,6
0,-22.5,421.05019994452596,8
1,-22.5,568.0071999635547,7
0,-37.5,627.4823999814689,7
1,-37.5,834.5868000146002,6
1,15,638.4634000100195,8
1,-60,713.5259999744594,7
1,-45,435.36930001247674,7
1,37.5,590.443000019528,8
1,-52.5,627.5017000120133,8
1,-37.5,605.5123000955209,8
1,37.5,527.48640003521,7
1,-45,546.1190000027418,7
