Correct Response,Rotation (deg),Reaction Time (ms),Target
1,52.5,477.44620003178716,1
1,-30,679.3627000264823,1
1,15,602.7884999606758,1
1,22.5,624.7231999845244,2
1,-45,444.59230004251003,0
1,7.5,598.3620000155643,2
1,15,472.8810999626294,0
0,-30,580.4970000139438,0
1,-30,796.3455000394024,2
1,-7.5,508.7697000093758,2
0,45,716.5793999996968,2
1,45,706.4308999655768,0
1,-22.5,618.0155999576673,0
1,-22.5,404.52889998815954,1
1,37.5,877.3690999918617,2
1,15,811.5769000109285,2
1,22.5,612.15960001247,2
1,45,438.2449000226334,0
1,-45,780.3353999592364,1
1,-15,698.7742999885231,2
1,0,366.33510002540424,0
1,0,472.97100000688806,1
1,7.5,435.50690001249313,2
1,37.5,497.94289999082685,0
1,-7.5,438.940100019332,1
1,-30,615.9474999844097,0
1,22.5,473.31879997765645,0
1,60,603.6502999453805,0
1,22.5,476.4119000141509,2
0,52.5,595.1720999986865,2
1,52.5,747.7878000321798,1
1,-15,597.3582999981008,1
1,-45,751.379500023555,2
1,-37.5,564.0805999832228,2
1,-22.5,518.0932999905199,0
0,52.5,-109.0,5
1,52.5,663.9112000088207,3
1,-7.5,547.0313000227325,5
1,-22.5,435.481499993708,4
1,-22.5,451.5419999919832,5
1,7.5,637.9507999485359,4
0,-52.5,634.4343000059016,5
1,-52.5,633.4571000155993,3
1,-52.5,606.1250999886543,3
1,30,1190.354700022377,4
1,-60,686.3105000196956,4
1,-52.5,555.6616000216454,4
1,0,405.61539999581873,3
1,-15,525.4014999922365,5
1,-30,521.0636999658309,3
1,52.5,497.3484000042081,3
1,-37.5,474.52230000309646,3
1,52.5,435.9422000092454,3
1,-52.5,442.5805999748409,3
1,15,534.2569999597035,4
1,60,645.8319000052288,3
1,-60,623.0556999766268,4
0,30,828.1150000370108,4
1,30,488.0048999879509,4
1,45,669.149800025858,3
1,-22.5,567.7376000061631,5
1,30,736.4701000009663,5
1,-37.5,456.5541999731213,4
1,-45,757.1767999874428,4
1,60,656.5280000180937,3
1,37.5,853.2920999536291,4
1,37.5,747.4974999753758,5
1,-45,643.491099992767,5
1,22.5,539.0438999715261,3
1,-52.5,763.784800012596,3
1,45,552.1132999532856,6
1,-15,401.8738000271842,7
1,-60,1054.252400001511,6
1,0,611.5508999759331,8
1,-30,528.2917999979109,8
0,52.5,830.9161000037566,8
0,52.5,771.5074999690987,8
1,52.5,622.4493000158109,7
1,-45,619.6329000489786,6
1,-52.5,509.96360001992434,7
1,45,729.202300015837,7
1,-30,505.3018999719061,6
1,-60,1107.3976000156254,8
1,-37.5,530.9474999634549,7
1,22.5,395.98599995626137,7
1,30,498.4553999933414,6
0,60,966.5499000078999,6
1,60,1126.0987999816425,8
1,-37.5,631.8346000011079,6
1,60,494.9442999754101,7
1,-60,607.1693000234663,8
1,-37.5,500.3000000109896,7
1,-7.5,457.6414999868721,6
1,-60,736.4446999821812,8
1,7.5,599.9967000065371,8
1,15,518.4966000346467,8
1,0,448.3446999769658,6
1,37.5,485.17120000580326,6
1,-15,506.7181999878958,8
1,-7.5,503.97819996252656,6
1,45,763.194399998989,8
1,30,665.0629999898374,8
1,7.5,357.7984999832697,7
1,-7.5,540.3956999620423,7
1,37.5,480.3335999571718,7
