Correct Response,Rotation (deg),Reaction Time (ms),Target
1,120,519.4830000410229,2
1,150,405.1153999762982,0
1,120,347.4101000475138,1
1,0,426.50560010321436,2
1,-30,427.3727000700682,1
1,0,378.9582999898493,1
1,-150,470.38449999041853,2
0,120,472.82200004070995,1
1,60,516.8157999879122,0
1,120,506.02719979457555,2
0,-150,385.9695000583678,1
1,180,732.0159999663383,1
1,-180,732.0159999663383,1
1,90,596.4269000115246,0
1,60,489.13839995026586,2
1,150,337.87790010780094,1
0,-60,547.2897998998315,1
1,180,474.71229988247154,2
1,-180,474.71229988247154,2
0,-120,700.1618999066204,1
1,-30,580.8543998292089,2
1,150,728.5392999193073,1
1,-90,507.96409999117253,0
1,-120,837.2227000082285,1
1,-150,524.2350997878611,2
1,120,417.4035999467969,0
1,30,499.6486001192033,2
1,0,457.0729001434892,2
1,0,451.568400022611,2
1,-120,554.0942999078334,2
0,-90,503.6610998222977,1
1,-150,329.9633997967839,0
1,-60,456.637899857983,5
1,-90,569.5315999919922,4
1,-120,700.9079998834432,4
1,0,371.92890001557765,3
1,-90,578.532000073269,4
1,60,423.3268999969959,5
1,-60,556.4655999197066,3
1,-120,422.84119990751145,5
1,30,424.63040002718566,5
1,90,456.6116998913139,5
1,-60,407.0558000831306,4
1,-30,336.16969990640877,5
1,90,510.1769000767171,3
1,90,422.85540001563726,5
1,-30,302.6405998980999,3
1,60,378.11599997900424,3
0,90,369.62730018518863,5
1,30,355.8763000192493,3
0,-90,730.0193000128866,4
1,-150,477.2012999756634,5
1,-60,851.851099870205,4
1,180,439.40659985043106,5
1,-180,439.40659985043106,5
1,30,505.47480001211164,3
1,90,520.9488999108225,5
1,150,440.5425000014156,5
0,-90,419.7931999816,3
1,-90,500.6746000154316,5
1,180,438.55799990803,5
1,-180,438.55799990803,5
