Correct Response,Rotation (deg),Reaction Time (ms),Target
1,60,567.7817000826449,2
1,90,609.5512998574973,0
1,-30,453.36800001613796,2
1,60,528.7312998255343,0
1,90,393.68840007163584,0
1,0,479.54100000724196,1
0,-150,518.2286999472976,0
1,180,602.4195999191702,1
1,-180,602.4195999191702,1
1,-150,671.0735000954569,1
1,0,497.8385998686403,2
0,150,609.1715998766572,0
1,60,585.0965001439304,2
1,-90,536.4258999755234,2
1,-90,592.107800096795,1
1,-90,566.3002000940592,0
1,-150,549.1827999060602,1
1,120,484.7184999664873,2
0,150,719.6797000063211,0
1,-60,526.5903000538797,2
1,-60,636.8469000147284,0
1,-30,509.9655001243204,1
1,180,514.8593001352251,2
1,-180,514.8593001352251,2
1,60,463.21260000631213,2
1,0,523.0128001706303,0
1,30,458.2660000590235,2
1,120,671.4142000121624,1
1,90,641.562400181368,1
1,-30,532.3766998765618,0
1,150,598.0010999185592,5
0,-150,417.5684000650048,3
1,-120,537.2689999924601,5
1,0,478.52700020238757,4
1,180,535.8698000484706,4
1,-180,535.8698000484706,4
1,150,422.9289999050647,4
1,-120,386.63649980962276,4
1,120,587.6820001570136,3
1,-150,544.6653999672831,4
1,-60,810.2803998911381,3
1,-90,613.0028998298199,3
1,150,643.9176998385788,5
1,-30,629.3830999923498,4
1,90,535.8315001060814,4
1,-120,488.6549001378566,4
0,180,658.3366000843794,3
0,-180,658.3366000843794,3
0,-120,744.6969000441582,5
1,180,601.5323999156803,3
1,-180,601.5323999156803,3
1,-120,591.1051000287384,4
1,150,609.3671999690682,3
0,30,651.34880019404,5
0,120,437.10539981774986,3
1,-150,573.5092999232561,4
1,30,590.223100064844,4
1,30,450.48759996943176,4
1,-90,439.67049990832805,4
1,120,588.1419000500441,5
1,30,514.0840001688898,4
1,30,513.0352999833972,4
1,-60,386.75710002943873,4
