Correct Response,Height (deg),Reaction Time (ms),Target
0,2.0,496.192899999246,1
1,2.0,441.36890000760553,2
1,2.83,454.45340010434387,1
1,5.29,449.10139986410735,2
1,0.71,518.5152001222968,2
1,1.41,388.6775998408347,2
1,1.0,527.5094001563639,1
1,0.35,505.91260008610783,2
1,2.0,414.8728000009805,2
1,2.0,351.65129997864364,1
1,0.5,652.6403999897093,0
1,0.25,453.56939989238975,2
1,0.5,571.392599959895,1
1,1.0,607.3781999303401,1
1,7.0,590.991599951908,0
1,0.35,388.0329998219758,1
1,2.83,422.48010006830094,2
1,7.0,420.7462999048084,1
1,0.35,623.2433000123501,0
1,2.83,445.8834000407159,2
1,0.71,425.165100024119,2
1,7.0,376.41889997854827,2
1,1.41,418.6362999035418,2
0,1.41,605.4781000139565,0
1,1.41,449.6051999749988,2
1,2.83,448.44290008865295,2
1,5.29,663.6624999819696,0
0,5.29,868.5425000740588,3
1,5.29,775.9775000168383,5
1,1.41,456.88829990200696,4
1,0.35,920.4994000038505,3
1,2.0,334.20459996074436,4
1,0.25,610.4279998699576,5
1,0.35,719.9851998603344,4
1,1.0,831.2653000476212,4
0,0.5,379.9801999712735,5
1,0.5,358.12440002433954,5
1,5.29,1025.4051999664307,3
1,2.83,783.4922000775487,5
1,0.5,856.2747999104113,3
1,0.25,634.7753999298811,4
1,7.0,1034.4430999840051,3
1,0.71,602.4992000321299,3
1,4.0,433.15539998099206,5
1,1.0,961.06160013102,5
1,0.25,715.5162000572682,3
1,5.29,990.0412000725419,4
1,0.5,502.21690000131724,5
1,4.0,846.3304999759794,3
1,4.0,787.2253998658061,3
1,0.71,629.5177999427915,5
1,2.0,738.1884001670778,3
1,4.0,623.7338001383841,5
1,4.0,817.8323998591304,5
